"Gene","Median_R","P_value","FDR"
"ENSG00000227252.2",-0.109645488601747,0.154634756732004,0.568067896395539
"ENSG00000275963.1",-0.10964844086665,0.154623585249046,0.568060764718677
"ENSG00000230454.1",-0.109653869219204,0.154603045741693,0.568019213606755
"ENSG00000215373.4",-0.109668523679449,0.154547607243542,0.567849429265466
"ENSG00000130939.20",-0.109671530471812,0.15453623426024,0.567841542857017
"ENSG00000126005.17",-0.109702815215812,0.154417939271168,0.567474631546235
"ENSG00000141028.6",-0.109708963345115,0.154394699763994,0.567423110132285
"ENSG00000236968.1",-0.109709316987474,0.154393363100227,0.567423110132285
"ENSG00000268992.1",-0.109744481404081,0.15426049548713,0.56706534071556
"ENSG00000237492.1",-0.109747054845117,0.154250775205701,0.56706347943729
"ENSG00000271259.1",-0.109759858550328,0.154202420503909,0.566953448084868
"ENSG00000230993.1",-0.109764728570987,0.154184031294042,0.566919704980315
"ENSG00000225752.1",-0.109772920636729,0.154153101759649,0.566839845533598
"ENSG00000267796.8",-0.109774209746623,0.154148235089388,0.566839845533598
"ENSG00000258437.1",-0.109776099073067,0.154141102680169,0.566839845533598
"ENSG00000140995.17",-0.109777648829767,0.154135252368577,0.566839845533598
"ENSG00000264519.2",-0.109780035516552,0.154126242983777,0.566839845533598
"ENSG00000168267.7",-0.109780597640025,0.154124121109649,0.566839845533598
"ENSG00000204091.8",-0.109782025739158,0.154118730495084,0.566839845533598
"ENSG00000158109.15",-0.109814282622628,0.153997008966491,0.566570535618946
"ENSG00000235661.3",-0.109816651255961,0.153988073770146,0.566570535618946
"ENSG00000282826.3",-0.109839747706163,0.153900967491005,0.566284894372021
"ENSG00000268660.1",-0.109844806092502,0.153881895176934,0.566248571406232
"ENSG00000286850.1",-0.10985039366657,0.153860829664931,0.566204909166377
"ENSG00000187516.7",-0.109855728353843,0.153840719579554,0.566198320271781
"ENSG00000181773.7",-0.109877657741458,0.153758073516931,0.566063700216906
"ENSG00000261819.1",-0.109891938361232,0.153704271624459,0.565899479113167
"ENSG00000255113.1",-0.109911469945553,0.153630709816708,0.565696326729658
"ENSG00000228820.2",-0.109911569614545,0.153630334501418,0.565696326729658
"ENSG00000275178.1",-0.109926940372118,0.153572462377189,0.565549522770567
"ENSG00000155099.8",-0.109941219916619,0.153518713477332,0.56538541692591
"ENSG00000277769.1",-0.109949476019365,0.153487643573149,0.565338651987903
"ENSG00000147457.14",-0.109957671281292,0.153456807315615,0.565292736543499
"ENSG00000172775.17",-0.109967217101106,0.15342089520923,0.565194275994064
"ENSG00000236498.1",-0.109977066445326,0.153383847859931,0.565110971047616
"ENSG00000260782.1",-0.109978960253966,0.153376725255994,0.565110971047616
"ENSG00000283208.2",-0.109980794502631,0.153369826894431,0.565110971047616
"ENSG00000162139.10",-0.11001417205405,0.153244339267993,0.56481432602164
"ENSG00000282881.2",-0.110015129851883,0.153240739434118,0.56481432602164
"ENSG00000237090.1",-0.11002129708263,0.153217561741169,0.564783278617544
"ENSG00000263345.1",-0.110024691029292,0.153204807734571,0.564770092076458
"ENSG00000197067.6",-0.110038751367591,0.153151979351123,0.564609165998894
"ENSG00000258987.2",-0.110044982180603,0.153128572941609,0.564608314035551
"ENSG00000240549.2",-0.110060272342469,0.153071145991987,0.564446411559666
"ENSG00000261697.5",-0.11006482602842,0.153054046348688,0.564417174694928
